SIGNALS	SIGNAL_COUNT	ONCODRIVE_ROLE	GENE	SYMBOL	MUTS_CS_SAMPLES	MUTS_PAM_SAMPLES	MUTS_CS	DRIVER_LABEL	MUTS_PAM	POOL_SIGNALS	KNOWN_DRIVER
	1	0.706	ENSG00000196588	MKL1	93	46	104	Pooled_driver	47	F	True
	1	0.8975	ENSG00000196220	SRGAP3	93	65	103	Pooled_driver	66	F	True
	1	0.752	ENSG00000169375	SIN3A	92	70	98	Pooled_driver	73	F	
	1	0.5845	ENSG00000051382	PIK3CB	87	71	97	Pooled_driver	81	F	
	1	0.0455	ENSG00000164398	ACSL6	86	62	93	Pooled_driver	68	F	True
	1	0.0335	ENSG00000076242	MLH1	85	35	92	Pooled_driver	36	F	True
	1	0.7365	ENSG00000115904	SOS1	90	79	92	Pooled_driver	81	F	
	1	0.682	ENSG00000072364	AFF4	86	58	91	Pooled_driver	58	F	True
	1	0.865	ENSG00000047315	POLR2B	84	50	88	Pooled_driver	53	F	
	1	0.4115	ENSG00000008838	MED24	74	38	84	Pooled_driver	42	R	
	1	0.081	ENSG00000096384	HSP90AB1	82	41	83	Pooled_driver	42	F	True
	1	0.0035	ENSG00000114861	FOXP1	78	51	83	Pooled_driver	51	F	True
	1	0.8565	ENSG00000100485	SOS2	76	55	82	Pooled_driver	58	F	
	1	0.836	ENSG00000156976	EIF4A2	79	39	82	Pooled_driver	39	F	True
	1	0.11599999999999999	ENSG00000092853	CLSPN	75	51	79	Pooled_driver	54	F	
	1	0.877	ENSG00000111581	NUP107	68	43	75	Pooled_driver	44	F	
	1	0.198	ENSG00000163539	CLASP2	71	55	75	Pooled_driver	59	F	
	1	0.055	ENSG00000011566	MAP4K3	69	56	73	Pooled_driver	57	F	
	1	0.1735	ENSG00000100968	NFATC4	68	54	70	Pooled_driver	55	F	
	1	0.888	ENSG00000140479	PCSK6	65	50	68	Pooled_driver	50	F	
	1	0.05	ENSG00000145819	ARHGAP26	63	42	67	Pooled_driver	43	F	True
	1	0.254	ENSG00000122729	ACO1	64	50	66	Pooled_driver	52	F	
	1	0.2725	ENSG00000054118	THRAP3	60	51	65	Pooled_driver	54	F	True
	1	0.57	ENSG00000116701	NCF2	65	46	65	Pooled_driver	46	F	
	1	0.5795	ENSG00000134371	CDC73	63	37	65	Pooled_driver	37	F	True
	1	0.031	ENSG00000137752	CASP1	62	23	65	Pooled_driver	23	F	
	1	0.0405	ENSG00000204217	BMPR2	59	50	64	Pooled_driver	54	F	
	1	0.2985	ENSG00000061676	NCKAP1	62	48	63	Pooled_driver	49	F	
	1	0.8765	ENSG00000075711	DLG1	60	46	63	Pooled_driver	47	F	
	1	0.836	ENSG00000115935	WIPF1	60	41	63	Pooled_driver	42	F	
	1	0.8525	ENSG00000083520	DIS3	59	41	62	Pooled_driver	41	F	
	1	0.848	ENSG00000136381	IREB2	59	48	62	Pooled_driver	49	F	
	1	0.191	ENSG00000153234	NR4A2	59	46	61	Pooled_driver	46	F	
	1	0.0635	ENSG00000095303	PTGS1	56	42	59	Pooled_driver	43	F	
	1	0.8759999999999999	ENSG00000106546	AHR	56	48	57	Pooled_driver	49	F	
F	1	0.0	ENSG00000140262	TCF12	55	43	57	Pooled_driver	45	F	True
	1	0.768	ENSG00000109971	HSPA8	54	37	56	Pooled_driver	39	F	
	1	0.1815	ENSG00000114416	FXR1	56	38	56	Pooled_driver	38	F	
	1	0.396	ENSG00000135316	SYNCRIP	55	36	56	Pooled_driver	36	F	
	1	0.1965	ENSG00000115310	RTN4	53	45	55	Pooled_driver	47	F	
	1	0.836	ENSG00000121691	CAT	52	32	54	Pooled_driver	32	F	
	1	0.027999999999999997	ENSG00000171720	HDAC3	54	22	54	Pooled_driver	22	F	
	1	0.0285	ENSG00000133895	MEN1	52	30	53	Pooled_driver	30	F	True
	1	0.0075	ENSG00000109606	DHX15	50	31	52	Pooled_driver	32	F	
	1	0.8809999999999999	ENSG00000126070	EIF2C3	49	39	52	Pooled_driver	42	F	
	1	0.6579999999999999	ENSG00000131778	CHD1L	51	44	52	Pooled_driver	45	F	
	1	0.126	ENSG00000134852	CLOCK	48	35	52	Pooled_driver	37	F	
	1	0.8859999999999999	ENSG00000080824	HSP90AA1	46	31	51	Pooled_driver	34	F	True
	1	0.013999999999999999	ENSG00000136167	LCP1	51	39	51	Pooled_driver	39	F	True
	1	0.1195	ENSG00000102081	FMR1	49	42	50	Pooled_driver	42	F	
	1	0.7845	ENSG00000137845	ADAM10	49	36	50	Pooled_driver	37	F	
	1	0.83	ENSG00000142453	CARM1	50	29	50	Pooled_driver	29	F	
	1	0.3245	ENSG00000058673	ZC3H11A	46	39	48	Pooled_driver	40	F	
	1	0.1075	ENSG00000121957	GPSM2	41	26	48	Pooled_driver	30	F	
	1	0.0055	ENSG00000152518	ZFP36L2	47	33	48	Pooled_driver	34	F	
	1	0.0395	ENSG00000120690	ELF1	46	33	46	Pooled_driver	33	F	
	1	0.0305	ENSG00000138363	ATIC	46	34	46	Pooled_driver	34	F	True
	1	0.0135	ENSG00000153113	CAST	44	24	45	Pooled_driver	24	F	
	1	0.6940000000000001	ENSG00000083312	TNPO1	43	34	44	Pooled_driver	34	F	
	1	0.9445	ENSG00000116132	PRRX1	42	28	44	Pooled_driver	29	F	True
	1	0.1295	ENSG00000125351	UPF3B	40	36	44	Pooled_driver	40	F	
	1	0.547	ENSG00000143398	PIP5K1A	40	31	44	Pooled_driver	32	F	
	1	0.0315	ENSG00000003756	RBM5	39	31	43	Pooled_driver	33	F	
	1	0.596	ENSG00000066455	GOLGA5	42	34	42	Pooled_driver	34	F	True
	1	0.003	ENSG00000178691	SUZ12	41	34	42	Pooled_driver	35	F	True
	1	0.0415	ENSG00000186575	NF2	41	33	41	Pooled_driver	33	F	True
	1	0.207	ENSG00000108094	CUL2	39	34	40	Pooled_driver	35	F	
	1	0.919	ENSG00000117461	PIK3R3	39	21	39	Pooled_driver	21	F	
	1	0.8805	ENSG00000150753	CCT5	35	26	39	Pooled_driver	28	F	
	1	0.354	ENSG00000131375	CAPN7	35	21	38	Pooled_driver	21	F	
	1	0.032	ENSG00000168439	STIP1	36	25	38	Pooled_driver	26	F	
	1	0.021	ENSG00000089280	FUS	33	15	37	Pooled_driver	18	R	True
	1	0.2215	ENSG00000100284	TOM1	37	27	37	Pooled_driver	27	F	
	1	0.877	ENSG00000104419	NDRG1	36	29	37	Pooled_driver	29	F	True
	1	0.8765	ENSG00000042429	MED17	34	28	36	Pooled_driver	29	F	
	1	0.0785	ENSG00000133794	ARNTL	36	27	36	Pooled_driver	27	F	
	1	0.15	ENSG00000067082	KLF6	32	23	35	Pooled_driver	23	F	True
	1	0.12300000000000001	ENSG00000114126	TFDP2	35	25	35	Pooled_driver	25	F	
	1	0.7340000000000001	ENSG00000151498	ACAD8	34	21	35	Pooled_driver	21	F	
	1	0.882	ENSG00000138757	G3BP2	34	28	34	Pooled_driver	28	F	
	1	0.0195	ENSG00000152795	HNRPDL	34	28	34	Pooled_driver	28	F	
	1	0.22699999999999998	ENSG00000187109	NAP1L1	32	18	33	Pooled_driver	18	F	
	1	0.069	ENSG00000127955	GNAI1	32	22	32	Pooled_driver	22	F	
	1	0.8635	ENSG00000060138	CSDA	31	23	31	Pooled_driver	23	F	
	1	0.0235	ENSG00000151292	CSNK1G3	30	23	30	Pooled_driver	23	F	
	1	0.048	ENSG00000066027	PPP2R5A	29	18	29	Pooled_driver	18	F	
	1	0.966	ENSG00000078304	PPP2R5C	27	21	29	Pooled_driver	23	F	
	1	0.8865	ENSG00000108924	HLF	29	23	29	Pooled_driver	23	F	True
	1	0.6859999999999999	ENSG00000136826	KLF4	29	25	29	Pooled_driver	25	F	
	1	0.862	ENSG00000158092	NCK1	29	22	29	Pooled_driver	22	F	
	1	0.8885	ENSG00000185551	NR2F2	28	23	29	Pooled_driver	24	F	
	1	0.401	ENSG00000101109	STK4	26	22	28	Pooled_driver	22	F	
	1	0.4275	ENSG00000101199	ARFGAP1	28	17	28	Pooled_driver	17	F	
	1	0.8859999999999999	ENSG00000106615	RHEB	27	21	28	Pooled_driver	21	F	
	1	0.02	ENSG00000185950	IRS2	24	19	24	Pooled_driver	19	F	
	1	0.22899999999999998	ENSG00000134333	LDHA	23	15	23	Pooled_driver	15	F	
	1	0.6579999999999999	ENSG00000176974	SHMT1	23	16	23	Pooled_driver	16	F	
	1	0.09	ENSG00000183431	SF3A3	22	19	23	Pooled_driver	20	F	
	1	0.0455	ENSG00000116560	SFPQ	22	17	22	Pooled_driver	17	F	True
	1	0.1235	ENSG00000119318	RAD23B	22	16	22	Pooled_driver	16	F	
	1	0.0895	ENSG00000026103	FAS	20	19	21	Pooled_driver	19	F	True
	1	0.8715	ENSG00000065978	YBX1	18	16	20	Pooled_driver	17	F	
	1	0.8415	ENSG00000088256	GNA11	20	16	20	Pooled_driver	16	F	True
	1	0.4425	ENSG00000100902	PSMA6	19	15	20	Pooled_driver	16	F	
	1	0.622	ENSG00000123268	ATF1	19	17	19	Pooled_driver	17	F	True
	1	0.0205	ENSG00000186469	GNG2	17	12	17	Pooled_driver	12	F	
	1	0.0415	ENSG00000182220	ATP6AP2	14	14	14	Pooled_driver	14	F	
